sentence1	sentence2
Bézierove krivulje je leta 1962 prvič opisal francoski inženir Pierre Etienne Bézier, ki jih je uporabil pri oblikovanju avtomobilske karoserije.	Bézierove krivulje je leta 1962 prvič opisal francoski inženir Pierre Etienne Bézier, ki jih je uporabil za oblikovanje avtomobilskih karoserij.
Svetovna zdravstvena organizacija priporoča uporabo cepiva proti koleri in drugih ukrepov pri osebah z visokim tveganjem za okužbo.	Svetovna zdravstvena organizacija priporoča uporabo cepiv proti koleri, skupaj z drugimi ukrepi, pri posameznikih z visokim tveganjem za okužbo.
Svetovna zdravstvena organizacija priporoča uporabo cepiv proti koleri, skupaj z drugimi ukrepi, pri posameznikih z visokim tveganjem za okužbo.	Svetovna zdravstvena organizacija priporoča uporabo cepiva proti koleri in druge ukrepe za ljudi z visokim tveganjem za okužbo.
Hranijo se z žuželkami, ki jih ujamejo med letom ali na tleh.	Hranijo se z žuželkami, ki jih ulovijo v letu ali na tleh.
Hranijo se z žuželkami, ki jih ulovijo v letu ali na tleh.	Hranijo se z žuželkami, ki jih ujamejo v letu ali na tleh.
Ruski pomorščak Vasilij Golovnin je leta 1811 skušal kartirati in raziskati otok, vendar so ga japonske oblasti prijele in dve leti je preživel v zaporu.	Leta 1811 je ruski pomorščak Vasilij Golovnin poskušal kartirati in raziskati otok, vendar so ga japonske oblasti aretirale in dve leti preživel v zaporu.
Grška javnost, mediji in kraljeva družina so dobro sprejeli novico, da bodo olimpijske igre ponovno potekale v Grčiji.	Novico, da se bodo olimpijske igre ponovno odvijale v Grčiji, so grška javnost, mediji in kraljeva družina dobro sprejeli.
Grška javnost, mediji in kraljeva družina so pozitivno sprejeli novico, da bodo olimpijske igre ponovno potekale v Grčiji.	Novico, da se bodo olimpijske igre ponovno odvijale v Grčiji, so grška javnost, mediji in kraljeva družina dobro sprejeli.
Grenlandija je prvič pomislila na to, da bi imela lastno zastavo, leta 1973, ko je pet Grenlandcev predlagalo zeleno, belo in modro zastavo.	Grenlandija je o lastni zastavi prvič razmišljala leta 1973, ko je pet Grenlandcev predlagalo zeleno, belo in modro zastavo.
Grenlandija je prvič pomislila na to, da bi imela lastno zastavo, leta 1973, ko je pet Grenlandcev predlagalo zeleno, belo in modro zastavo.	Grenlandija je o lastni zastavi prvič razmišljala leta 1973, ko je pet Grenlandcev predlagalo zeleno-belo-modro zastavo.
Šele po smrti Zaleskega leta 1972 sta se obe frakciji ponovno združili.	Šele po Zaleskijevi smrti leta 1972 sta se frakciji ponovno združili.
V Atlasovi orbiti so zaznali šibek obroč, ki so ga začasno poimenovali R/2004 S 1.	V Atlasovi orbiti so odkrili šibek obroč, ki so ga okvirno označili kot R/2004 S 1.
V Atlasovi orbiti so zaznali šibek obroč, ki so ga začasno poimenovali R/2004 S 1.	V tirnici Atlasa so odkrili šibek obroč, ki je dobil začasno oznako R/2004 S 1.
Njegove meje ustrezajo prvotnemu departmaju Liamone, ki je obstajal med letoma 1793 in 1811.	Njegove meje ustrezajo prvotnemu departmaju Liamone, ki je obstajal v letih 1793–1811.
Njegove meje se ujemajo z mejami prvotnega departmaja Liamone, ki je obstajal med letoma 1793 in 1811.	Njegove meje ustrezajo prvotnemu departmaju Liamone, ki je obstajal v letih 1793–1811.
Ko je observatorij pridobil dodatne potrditvene fotografije, so 13. marca 1930 novico o odkritju po telegrafu poslali observatoriju harvardske univerze.	Potem ko je observatorij prejel več potrditvenih fotografij, so 13. marca 1930 novico o odkritju telegrafirali na observatorij Univerze Harvard.
Ko je observatorij pridobil dodatne potrditvene fotografije, so 13. marca 1930 novico o odkritju po telegrafu poslali observatoriju harvardske univerze.	Potem ko je observatorij pridobil dodatne potrditvene fotografije, so 13. marca 1930 novico o odkritju telegrafirali na observatorij Univerze Harvard.
Pterozavri so bili največje leteče živali, ki so kdajkoli živele na Zemlji.	Med pterozavri so bile največje leteče živali, ki so kdajkoli živele na Zemlji.
Celovit nabor opazljivih lastnosti, ki tvorijo zgradbo in vedenje organizma, se imenuje fenotip.	Skupek opaznih značilnosti, ki sestavljajo strukturo in vedenje organizma, se imenuje fenotip.
Celoten sklop opaznih lastnosti, ki sestavljajo strukturo in vedenje organizma, se imenuje fenotip.	Skupek opaznih značilnosti, ki sestavljajo strukturo in vedenje organizma, se imenuje fenotip.
Sveto pismo je največkrat prevedena knjiga na svetu.	Sveto pismo je najbolj prevajana knjiga na svetu.
V tem članku pokaže, da obstaja nasprotje med Carnotovim pravilom in konceptom ohranitve energije.	V tem prispevku je pokazal, da obstaja protislovje med Carnotovim pravilom in konceptom ohranitve energije.
V tem prispevku je pokazal, da obstaja protislovje med Carnotovim pravilom in konceptom ohranitve energije.	V tem članku je pokazal, da obstaja protislovje med Carnotovim pravilom in konceptom ohranitve energije.
New York Herald je prvi večji časopis na vzhodni obali, ki je poročal o odkritju zlata.	New York Herald je bil prvi večji časopis na vzhodni obali, ki je poročal o odkritju zlata.
Klasični znaki bolezni so pogosto uriniranje, povečani žeja in lakota ter izguba teže.	Klasični znaki bolezni so pogosto uriniranje, povečana žeja in lakota ter izguba telesne teže.
Krščanski praznik božič praznuje rojstvo Jezusa Kristusa.	Krščanski božič praznuje rojstvo Jezusa Kristusa.
Na krščanski praznik božič praznujemo rojstvo Jezusa Kristusa.	Krščanski božič praznuje rojstvo Jezusa Kristusa.
Prvi Evropejec, ki je po vrhuncu male ledene dobe ugledal otok, je bil William Baffin leta 1616.	Prvi Evropejec, ki je videl otok po vrhuncu male ledene dobe, je bil William Baffin leta 1616.
Dva meseca po koncu vojne je John, najmlajši sin kraljice Marije, umrl pri trinajstih letih.	Dva meseca po koncu vojne je John, najmlajši sin kraljice Marije, pri 13 letih umrl.
Ko mu želi prikazati delovanje časovnega stroja, Doc nastavi datum na 5. november 1955, na dan, ko je izumil napravo za potovanje skozi čas.	Ko mu želi pokazati, kako deluje časovni stroj, Doc nastavi datum na 5. november 1955, ko je izumil napravo za potovanje skozi čas.
Na sprednji strani prestola ob njegovih nogah sta vklesani dve manjši figuri: njegova žena Tiye in mati Mutemwiya.	Na sprednji strani prestola ob njegovih nogah sta izklesani dve manjši figuri: njegova žena Tiye in mati Mutemwiya.
Na sprednji strani prestola ob njegovih nogah sta vklesani dve manjši figuri: njegova žena Tiye in mati Mutemwiya.	Dve manjši figuri sta izrezani v prednji del prestola ob njegovih nogah: to sta njegova žena Tiye in mati Mutemwiya.
Vprašanje je, če ima svet začetek v času, ali pa je večno obstajal.	Vprašanje je, ali se je svet začel v času ali obstaja že od nekdaj.
Vprašanje je, ali se je svet začel v času ali obstaja že od vekomaj.	Vprašanje je, ali se je svet začel v času ali obstaja že od nekdaj.
Trenutno je prosti igralec.	Trenutno je svobodni umetnik.
Trenutno je svobodni umetnik.	Trenutno je prost igralec.
Diferencialna diagnoza se lahko nekoliko zaplete, če pri osebi prihaja samo do bruhanja ali pa samo do driske (in ne obojega hkrati).	Diferencialna diagnoza je lahko nekoliko zapletena, če oseba samo bruha ali ima samo drisko (in ne obojega).
Diferencialna diagnoza se lahko nekoliko zaplete, če pri osebi prihaja samo do bruhanja ali pa samo do driske (in ne obojega hkrati).	Diferencialna diagnoza je lahko nekoliko zapletena, če ima oseba samo bruhanje ali samo drisko (in ne obojega).
Američani porabijo 2,9 milijarde dolarjev za zdravila brez recepta in še 400 milijonov dolarjev za zdravila na recept, ki lajšajo simptome.	Američani za lajšanje simptomov porabijo 2,9 milijard dolarjev za zdravila brez recepta in dodatnih 400 milijonov za zdravila na recept.
Štirinajstletna Elizabeta je imela svoj prvi radijski nagovor v BBC-jevi oddaji Children's Hour, kjer je nagovorila druge otroke, evakuirane iz mest.	Štirinajstletna Elizabeth je prvič nastopila na radiu v oddaji BBC Children's Hour in nagovorila druge otroke, ki so bili evakuirani iz mest.
Štirinajstletna Elizabeta je imela svoj prvi radijski nagovor v BBC-jevi oddaji Children's Hour, kjer je nagovorila druge otroke, evakuirane iz mest.	14-letna Elizabeta je imela svoj prvi radijski nagovor v BBC-jevi oddaji Children's Hour, v kateri je nagovorila ostale otroke, ki so jih evakuirali iz mest.
Točno uporabo zastave urejajo zakoni, sprejeti na 58. izvršnem zasedanju državnega sveta v Pekingu.	Natančno uporabo zastave urejajo zakoni, sprejeti na 58. zasedanju državnega sveta v Pekingu.
Točno uporabo zastave urejajo zakoni, sprejeti na 58. izvršnem zasedanju državnega sveta v Pekingu.	Natančno uporabo zastave urejajo zakoni, sprejeti na 58. izvršnem zasedanju državnega sveta v Pekingu.
Tri leta pozneje se je Justinijan počutil dovolj močnega, da je napadel Bolgarijo in poskušal ponovno vzpostaviti svojo oblast nad temi ozemlji.	Tri leta pozneje se je Justinijan počutil dovolj močnega, da je napadel Bolgarijo in poskušal obnoviti svojo vladavino nad temi ozemlji.
Tri leta pozneje se je Justinijan počutil dovolj močnega, da je napadel Bolgarijo in poskušal obnoviti svojo vladavino nad temi ozemlji.	Tri leta pozneje se je Justinijan počutil dovolj močnega, da je napadel Bolgarijo in poskušal ponovno vzpostaviti svojo vladavino nad temi ozemlji.
Umrla je leta 1245, ko je čakala na vrnitev sina.	Umrla je leta 1245 v pričakovanju sinove vrnitve.
Umrla je leta 1245, čakajoč na vrnitev sina.	Umrla je leta 1245 v pričakovanju sinove vrnitve.
Ko je govorila o naslovu in konceptu albuma, je Lady Gaga pojasnila: »Pri slavi gre za to, kako se vsak lahko počuti slavnega.«	"Lady Gaga je o naslovu in konceptu albuma pojasnila: ""Slava je o tem, kako se lahko vsakdo počuti slavnega."""
Ko je govorila o naslovu in konceptu albuma, je Lady Gaga pojasnila: »Pri slavi gre za to, kako se vsak lahko počuti slavnega.«	"O naslovu in konceptu albuma je Lady Gaga pojasnila: ""Slava je, da se vsi počutijo slavne."""
V petih urah je v Scapa Flowu potonilo 10 bojnih ladij, pet bojnih križark, štiri lahke križarke in 32 torpednih čolnov.	V petih urah je v Scapa Flow potonilo 10 bojnih ladij, pet križark, štiri lahke križarke in 32 torpednih čolnov.
V petih urah je v Scapa Flowu potonilo 10 bojnih ladij, pet bojnih križark, štiri lahke križarke in 32 torpednih čolnov.	V petih urah je v Scapa Flow potonilo 10 bojnih ladij, pet bojnih križark, štiri lahke križarke in 32 torpednih čolnov.
Zato bo vsako iskanje dokazov v prid hipotezi verjetno uspešno.	Zato bo iskanje dokazov, ki podpirajo hipotezo, verjetno uspešno.
Posledično bo vsakršno iskanje dokazov v prid hipoteze verjetno uspešno.	Zato bo iskanje dokazov, ki podpirajo hipotezo, verjetno uspešno.
Zagotavljanje lahko dostopne, nekontaminirane vode in dobre higienske navade so pomembni za zmanjšanje pojavnosti okužb in klinično pomembnega gastroenteritisa.	Zaloga zlahka dostopne neonesnažene vode in dobre higienske navade so pomembne pri zmanjševanju pogostnosti okužbe in klinično pomembnega gastroenteritisa.
Zagotavljanje lahko dostopne, nekontaminirane vode in dobre higienske navade so pomembni za zmanjšanje pojavnosti okužb in klinično pomembnega gastroenteritisa.	Oskrba z lahko dostopno nekontaminirano vodo in dobre higienske navade so pomembni za zmanjšanje pojavnosti okužb in klinično pomembnega gastroenteritisa.
Tasman, njegov navigator Visscher in njegov trgovec Gilsemans so zrisali tudi dobršne dele Avstralije, Nove Zelandije in pacifiških otokov.	Tasman, njegov navigator Visscher in trgovec Gilsemans so popisali tudi velik del Avstralije, Nove Zelandije in pacifiških otokov.
Aktivni so predvsem ponoči in ponavadi živijo sami.	Aktivni so predvsem ponoči in običajno živijo sami.
Vera je samozavedanje in samozavest človeka, ki se še ni našel ali pa se je že izgubil.	Vera je samozavedanje in samozaupanje osebe, ki se še ni našla ali pa se je že spet izgubila.
Vera je samozavedanje in samozaupanje osebe, ki se še ni našla ali pa se je že spet izgubila.	Vera je samozavedanje in samozavest človeka, ki se še ni našel ali pa se je že znova izgubil.
Coppa Italia (italijanski pokal) je letno pokalno nogometno tekmovanje v Italiji.	Coppa Italia (italijanski pokal) je letno nogometno pokalno tekmovanje v Italiji.
Prehranjujejo se z bolj ali manj vsemi gibljivimi živalmi, ki živijo tukaj.	Prehranjujejo se z bolj ali manj katero koli premično živaljo, ki živi tukaj.
V državah v razvoju, še posebej v podsaharski Afriki in Aziji, je kolera pogosto vzrok za gastroenteritis.	Kolera je pogost vzrok gastroenteritisa v državah v razvoju, zlasti v podsaharski Afriki in Aziji.
Prehlad je najpogostejša nalezljiva bolezen pri ljudeh.	Navaden prehlad je najpogostejša nalezljiva bolezen pri ljudeh.
Papos Aleksandrijski trdi, da je Arhimed opisal zgradbo teh naprav v danes izgubljenem rokopisu O izdelavi nebesnega svoda.	Pafos Aleksandrijski trdi, da je Arhimed konstrukcijo teh naprav opisal v svojem zdaj izgubljenem rokopisu O konstrukciji nebesnega svitka.
Prvo zasedanje novega parlamenta je potekalo 12. maja 1999.	Prvo zasedanje novega parlamenta bo potekalo 12. maja 1999.
Prvo zasedanje novega parlamenta bo potekalo 12. maja 1999.	Prva seja novega parlamenta je potekala 12. maja 1999.
Marsh odkrije prve fosile pterozavrov v Ameriki.	Marsh je odkril prve fosile pterozavra v Ameriki.
Republika je svojo najnižjo točko dosegla v letih od 1499 do 1528, ko je bila pod skoraj nenehno francosko nadvlado.	Republika je dosegla svoj vrhunec med letoma 1499 in 1528, ko je bila skoraj stalno pod francosko oblastjo.
Republika je svojo najnižjo točko dosegla v letih od 1499 do 1528, ko je bila pod skoraj nenehno francosko nadvlado.	Republika je dosegla najnižjo točko med letoma 1499 in 1528, ko je bila skoraj stalno pod francosko nadvlado.
Geotermalna energija je toplotna energija, ki jo proizvaja notranja toplota Zemlje.	Geotermalna energija je toplotna energija, ki nastaja zaradi notranje toplote zemlje.
Geotermalna energija je termalna energija, ki jo proizvaja Zemljina notranja vročina.	Geotermalna energija je toplotna energija, ki nastaja zaradi notranje toplote zemlje.
Neubijanje je izraz, ki se nanaša na odsotnost ubijanja ter odsotnost groženj z ubijanjem in pogojev, ki napeljujejo k ubijanju v človeški družbi.	Neutrujanje je izraz, ki se nanaša na odsotnost ubijanja, odsotnost groženj s smrtjo in pogojev, ki spodbujajo ubijanje v človeški družbi.
Nezabijanje je izraz, ki se nanaša na odsotnost ubijanja, odsotnost groženj z ubijanjem in pogojev, ki spodbujajo ubijanje v človeški družbi.	Neutrujanje je izraz, ki se nanaša na odsotnost ubijanja, odsotnost groženj s smrtjo in pogojev, ki spodbujajo ubijanje v človeški družbi.
Po smrti mora faraon najprej vstati iz groba.	Po smrti mora faraon najprej vstati iz svoje grobnice.
Močan izbruh je ubil devetnajst ljudi.	V obsežnem izbruhu bolezni je umrlo 19 ljudi.
So zelo teritorialni in agresivni do svojih in drugih vrst.	So zelo teritorialni in agresivni tako do svojih vrst kot do drugih vrst.
So zelo teritorialni in agresivni tako do svoje kot do tujih vrst.	So zelo teritorialni in agresivni tako do svojih vrst kot do drugih vrst.
Zato so pred palačo tudi templji prednikov.	Zato so templji prednikov pred palačo.
Ima dva starejša brata, Ryana in Spencerja, ki sta prav tako igralca.	Ima dva starejša brata, Ryana in Spencerja, ki sta tudi igralca.
Zanimala jo je medicina in proizvajala je tudi svoja zdravila.	Zanimala se je za medicino in izdelovala lastna zdravila.
Zanimala se je za medicino in sama izdelovala zdravila.	Zanimala se je za medicino in izdelovala lastna zdravila.
V naravi je povprečna življenjska doba približno 20 let, v ujetništvu pa lahko doseže tudi 30 let.	V naravi je povprečna življenjska doba približno 20 let, v ujetništvu pa do 30 let.
V naravi je povprečna življenjska doba približno 20 let, v ujetništvu pa lahko doseže tudi 30 let.	V naravi povprečno živi okoli 20 let, medtem ko v ujetništvu lahko tudi 30.
