sentence0;sentence1;sentence2;sentence3
 Gospoda, bi prosim poskrbela, da se gospod Dawson vrne tja, kamor spada in tam tudi ostane.; Gospoda, prosim, pospremita g. Dawsona tja, kamor spada, in poskrbita, da bo tam tudi ostal.; Dame in gospodje, posluh, prosim!; Zanima me samo, če ste že našli Srce oceana, g. Lovett.
 Da, gospod. Vi, pridite z nama.; Rekel sem, da se umaknite. Pridite naprej, gospa.; Gremo! -Odpeljite naju dol, hitro.; Stopite noter, gospodična.
 Usliši nas, ko te prosimo za tiste v nevarnosti na morju.; Vsem, ki se bodo odzvali, povej, da tonemo s premcem naprej in da nemudoma potrebujemo pomoč.; Naj ti pomagam.; Lucy, za božjo voljo, bodi za zgled in si nadeni rešilni pas.
 In zakaj imate dve kolesi krmila?; Zakaj večerjo vedno najavljajo kot napad konjenice?; Zakaj ne obračajo?; Ali kaj manjka?
 Tega uporabljamo samo blizu obale.; To je torej ladja, za katero pravijo, da je nepotopljiva.; Toda ladja je prevelika in ima premajhno krmilo.; Na tovornih ladjah in podobno.
 Oprostite, gospod. Še eno opozorilo o ledu. To je z Noordama.; Ne skrbite, gospodična. Gotovo je le varnostni ukrep.; Čakajte, gospod! Odprite vrata, prosim!; Dobro, fantje. Kapitan je rekel lepo in veselo, da ne bo panike.
 Hvala, Sparks.; Hvala, Sparks.; Hvala, Bride.; Hvala, Rose.
 Oh, brez skrbi. Popolnoma običajno za ta letni čas.; Ne skrbite. Dokaj normalno za ta letni čas.; Že v redu. Karkoli se spomnite.; Saj res...
 Pravzaprav pospešujemo.; Vsak dan je treba izkoristiti.; No, samo na bolečino misliš.; Tega se ne da preprečiti.
 Pravkar sem ukazal, naj zakurijo zadnje kotle.; Kar tu bom počakal!; Oprostite, v roki, pa je ukazal, naj povečajo hitrost.; Pravzaprav pospešujemo. Pravkar smo zagnali še zadnje kotle.
 No, sine. Navij čvrsto, kot sem ti pokazal.; Navij, kot sem ti pokazal. Tako, ja.; Daj že. Zavij.; Vrnila se bom. Pusti me pri miru.
 V redu, zdaj spusti.; Zdaj pa vrzi.; Zdaj pa spusti glavo.; Ja. Zlezi v čoln.
 Je bilo v redu, kajne? -Krasno.; Neverjetno je, kajne? -Nadvse veličastno.; Oprosti, Trudy. -Je že v redu.; Nosila bom tole. -Prav.
 Odlično, sine.; Dobro.; Rose, poslušaj.; A, tako.
 Gospod Andrews, oprostite mi...; Oprostite.; Oprostite.; Oprostite.
 Seštevala sem na pamet in število rešilnih čolnov krat kapaciteta, ki ste jo omenili.; Te stvari smo uspeli rešiti iz vaše kabine.; G. Andrews, oprostite, računala sem, in če pomnožim število rešilnih čolnov z njihovo kapaciteto...; V enem čolnu sem jih videl le 12.
 Oprostite, ampak zdi se, da ni dovolj rešilnih čolnov za vse na ladji.; Oprostite, toda kaže, da jih ni dovolj za vse na ladji.; Rešilni čolni so že tako potrata prostora na nepotopljivi ladji.; Toda ta ladja je nepotopljiva.
 Za polovico, pravzaprav.; Pravzaprav za približno polovico.; Ja, bolj ali manj.; Za reveža. Saj lahko rečeš.
 Rose, nič vam ne uide, kaj? Dejansko sem predvidel nove nosilce, ki bi lahko nosili še dodatno vrsto čolnov, toda nekateri so mislili, da bi bila paluba prenatrpana, in so me preglasovali.; Prositi vas moram, da si nadenite rešilne pasove in odidete na palubo. -Rekel sem, da ne zdaj.; To vsi pravijo, a z vsem spoštovanjem, gospodična, nisem jaz tisti, ki visi z zadnjega dela ladje.; Namestil sem te nove sohe, kamor lahko privežejo dodatno vrsto čolnov.
 Saj je škoda prostora na nepotopljivi ladji.; Menda je na tej ladji kar v redu.; Toda ta ladja je nepotopljiva.; Toda ladja je prevelika in ima premajhno krmilo.
 Mirno spite, mlada Rose. Zgradil sem vam dobro ladjo, čvrsto in zvesto.; Mirno lahko spite, mlada Rose.; To vsi pravijo, a z vsem spoštovanjem, gospodična, nisem jaz tisti, ki visi z zadnjega dela ladje.; Hvaležen sem za to, Rose.
 Ona je zadosten reševalni čoln.; Toda ta ladja je nepotopljiva.; Edino ti lahko to storiš.; Menda je na tej ladji kar v redu.
 Samo nadaljujte proti krmi. Naslednja postaja je strojnica.; Pojdite naprej proti krmi. Naslednja postaja je strojnica.; Počakaj malo. Pojdi nazaj na desno.; Napnite jih. Nato bomo čoln zasukali v desno!
 Pridi.; Pridi.; Pridi.; Pridi.
 Jack, to je nemogoče. Ne smem te videti.; Jack, to je nemogoče. Ne smem se videvati s tabo.; Veš, da nisem storil tega, Rose.; Veš, da nisem storil tega. Poznaš me!
 Moram govoriti s tabo. -Ne, Jack, ne.; Govoriti moram s tabo. -Ne, Jack. Ne.; Ne kukaj. -Saj ne.; Vi. -Gospod, ni razloga za preplah.
 Jack, zaročena sem.; Jack, zaročena sem.; Tvoja zaročenka sem.; Rose, zaupam ti.
 Poročila se bom s Calom. Ljubim ga.; Poročila se bom s Calom.; Držim te. Ne bom te izpustil.; Z Jackom se bova rešila. Oba.
 Rose, s tabo ni lahko.; Daj, Rose, saj zmoreš.; Poslušaj, Rose, rešila se boš.; Nadarjen si, Jack.
 Prav, celo razvajen otročaj si, a pod tem si osupljivo čudovita, prekrasna punca... ženska, kar sem jih kdaj poznal in...; Toda pod vsem tem se skriva najbolj neverjetna, osupljiva in čudovita punca...; Mogoče ne takoj, ker si močna, ampak slej ko prej bo ogenj v tebi, ki mi je tako všeč, ugasnil.; Ženska, ki sem jo kdajkoli poznal, in...
 Jack, jaz... -Ne, pusti me, da poskusim končati.; Jack, jaz... -Ne, naj povem do konca.; Si videl, kaj se je zgodilo? -Ne, zamudil sem.; Pridi z mano. -Jack, čakaj.
 Ti si, ti si čudo...; Ti si, Lewis.; Ljubim te, Jack.; Ljubi bog!
 Nisem neumen. Vem, kako se svet obrača.; Nisem idiot. Vem, kako se svet vrti.; Ne morem. Zdaj sem vpleten.; Vedno preživim. Ne skrbi zame.
 V žepu imam deset dolarjev.; V žepu imam 10 dolarjev.; Imam zrak v pljučih in nekaj praznih listov papirja.; Vse, kar potrebujem, imam pri sebi.
 Ničesar ti ne morem ponuditi in to vem.; Vem, da ti ne morem nič ponuditi.; Ne morem oditi, ne da bi vedel, da bo s tabo vse v redu.; Ničesar ti ne bi odrekel, če me le ne boš zavrnila.
 Razumem.; Razumem.; Razumem.; Razumem.
 Ampak zdaj sem preveč vpleten. Če ti skočiš, jaz skočim, še veš?; Ne smeš se več videvati s tistim fantom. Me razumeš?; Veš, da nisem storil tega. Poznaš me!; Zdaj bom zaplesal z njo, prav?
 Ne morem stran, ne da bi vedel, da boš v redu.; Ne morem oditi, ne da bi vedel, da bo s tabo vse v redu.; Vem, da ti ne morem nič ponuditi.; Nisem te nameravala čakati ves dan, sinko.
 Samo to hočem.; Samo to hočem.; Ne bom se pretvarjal, da vem, zakaj.; To bi si moral zapisati.
 No, dobro sem.; V redu sem.; Prav sem imela.; Takoj bom nazaj.
 Z mano bo vse v redu, zares.; Z mano bo vse v redu.; S tabo bo vse v redu.; Ne skrbi, ne bo mi hudega.
 Zares?; Sinko?; Da?; Vidiš?
 Mislim, da ne. V pasti te imajo, Rose, in umrla boš, če se ne osvobodiš.; Jack, to je nemogoče. Ne smem se videvati s tabo.; Ne morem oditi, ne da bi vedel, da bo s tabo vse v redu.; Vem, da ti ne morem nič ponuditi.
 Mogoče ne takoj, ker si močna, ampak prej ali slej bo tisti ogenj, ki mi je všeč pri tebi, Rose...; Mogoče ne takoj, ker si močna, ampak slej ko prej bo ogenj v tebi, ki mi je tako všeč, ugasnil.; Verjemi mi, ta klic moraš sprejeti.; Da te spomnim, kaj čutim do tebe.
 Tisti ogenj bo ugasnil.; Kmalu bo konec. Kmalu bo vsega konec.; Vraga bo.; Ladja nas bo potegnila s sabo.
 Ni na tebi, da me rešiš, Jack.; Ni na tebi, da me rešiš, Jack.; Ker se iz mene ne boš norčevala, Rose.; Veš, da nisem storil tega, Rose.
 Prav imaš. Samo ti se lahko rešiš.; Edino ti lahko to storiš.; Vidiš? To je moja usoda.; Ne verjemi jim. Veš, da ni res.
 Nazaj grem. Pusti me pri miru.; Vrnila se bom. Pusti me pri miru.; Pridi z mano, ljubica.; Držim te. Ne bom te izpustil.
 Povej Lucille o katastrofi s pozivnicami.; Obrni se.; Ne poslavljaj se.; Dotakni se me, Jack.
 Seveda, pozivnice smo morali poslati nazaj dvakrat.; Seveda smo morali vabila ponovno poslati, in to dvakrat.; Razposlali smo 500 vabil.; Predolgo smo čakali.
 O, moj bog! -In grozne obleke družic.; Ljubi bog. -In grozne obleke družic.; Za božjo voljo, tu spodaj so ženske in otroci!; Ni mi mar, kaj si mislite. -Dvigala ne vozijo.
 Naj vam povem, kakšna odiseja je bila to.; Rečeno mi je bilo, naj vam dam tole v zahvalo.; To je storila, da bi me ujezila.; To je res izjemno potovanje.
 Rose se je odločila za svetlo vijoličasto.; Diamant sem dal v plašč.; Na njej je bilo veliko obrazov.; Imela je čudovite roke.
 Ve, da sovražim to barvo, zato jo je izbrala meni navkljub.; Rose je izbrala svetlo vijolično. Ve, da sovražim to barvo.; To je storila, da bi me ujezila.; Zadnja stvar, ki jo potrebujem, je še ena slika, na kateri izgledam kot porcelanasta punčka.
 Če bi vsaj prej prišli k meni.; Če bi le prej prišli do mene.; Mogoče bi se nam jutri zvečer pridružili pri večerji.; Potrebujete še kaj? Če dovolite, bi odšel.
" Ruth je videla nekaj mojih kreacij v ""La Mode Illustree""."; Ruth je videla nekaj mojih oblek v La Mode Illustrée, ki so bile nevestina bala najmlajše hčere grofice Marlboroughške. Bile so precej očarljive.; Preveril sem preteklost te ženske vse do 1920-ih let, ko je delala kot igralka.; Bil je tako prijazen in mi danes pokazal nekaj svojih stvaritev.
 Bile so za balo za najmlajšo hčer vojvodinje od Malborougha.; V Parizu se jim niso zdele nič posebnega.; Ruth je videla nekaj mojih oblek v La Mode Illustrée, ki so bile nevestina bala najmlajše hčere grofice Marlboroughške. Bile so precej očarljive.; Louis XVI je nosil prekrasen dragulj, ki se je imenoval Modri kraljevi diamant.
 Bile so res očarljive, a mislim, da se boš strinjala, da smo ustvarili laboda iz grdega račka.; Pokazal ti bom, kako se to dela.; Škoda, da nisem obdržal tiste risbe.; Mogoče ne takoj, ker si močna, ampak slej ko prej bo ogenj v tebi, ki mi je tako všeč, ugasnil.
 Živijo, Jack.; Poravnajte, fantje.; Pozabi, fante.; Na obhod grem. Adijo.
 Premislila sem se.; Premislila sem si.; Nisem si mislil tega.; Nagnila sem se daleč čez, da bi videla...
 Povedali so mi, da si verjetno... -Psst.; Ne, semle! -Hitro!; Za mano. Ni razloga za paniko. -Prosim!; Takoj, kreten! -Ja, gospod.
 Daj mi roko.; Daj mi roko.; Daj mi roko.; Daj mi roke.
 Zapri oči.; Ulezi se.; Obrni se.; Poberi se.
 Daj.; Daj.; Daj.; Daj.
 Stopi gor.; Stopi gor.; Poglej na drugo stran. Pojdi!; Pojdi zdaj. Zlezi v čoln.
 Primi se za ograjo.; Stopi na ograjo.; Spusti jih.; Malo bolj narazen jo primi.
 Oči imej zaprte, brez kukanja. -Saj ne.; Pridi, babi. -Ne!; Kaj je? -Daj bolj na glas.; V tej smeri je brezupno. -Prav.
 Stopi na ograjo.; Stopi na ograjo.; Zlezi v čoln.; Stopi gor.
 Počakaj. Počakaj. Oči imej zaprte.; Primi se za ograjo. Oči imej zaprte.; Pojdi zdaj. Zlezi v čoln.; In pojdite do čolna. Hitro. Nič ne čakajte.
 Mi zaupaš?; Si videla?; Si v redu?; Si tega želiš?
 Zaupam ti.; Zaupam ti.; Držim te.; Ljubim te, Jack.
 V redu, odpri oči.; Zdaj pa odpri oči.; Zdaj pa zapri oči.; Zdaj pa spusti glavo.
 Letim! Jack!; Rose! -Jack!; Rose! -Jack!; Jack!
 Pridi Josephine, moj leteči stroj.; Pridi z mano, ljubica.; Obljubi mi, Rose.; Rose, prosim, ustavi se!
 In gre gor.; Tista vulgarna Brownovka gre.; Zdaj pa vrzi.; Dol z nje!
 Gre gor.; Tista vulgarna Brownovka gre.; Zdaj pa vrzi.; Stopi gor.
 To je bilo zadnjič, da je Titanik videl beli dan.; Teden preden je šel na Titanik.; Za vse ostale je bila ladja sanj.; To je bila šele odisejada.
 Torej smo prišli do večera pred potopitvijo.; Naslednje popoldne smo od irske obale že drveli proti zahodu, pred nami pa je bil le ocean.; Predolgo smo čakali.; Ladja nas bo potegnila s sabo.
 Še šest ur. -Neverjetno.; Še šest ur. -Neverjetno.; Neverjetno je, kajne? -Nadvse veličastno.; Vsi naenkrat. -Čakajte!
 Tam je Smith, stoji tam z opozorilom o ledu v prekleti roki... Oprostite, v roki, on pa ukazuje večjo hitrost.; Oprostite, v roki, pa je ukazal, naj povečajo hitrost.; Vsi potniki tretjega razreda z ležišči v sprednjem delu, za mano, prosim! V to vrsto! Semle...; Zdaj hočem, da se čudijo njegovi hitrosti.
 26 let izkušenj je delalo proti njemu.; 26 let izkušenj je delalo proti njemu.; Vse je bilo krivo.; Preglasovali so me.
 Misli si, da bodo vse dovolj veliko, da lahko potopi ladjo, videli pravočasno in zavili.; Mislil je, da se bodo imeli čas izogniti, če bo na poti kaj nevarnega.; Ta naduti častnik ne pusti moških v čolne.; Prej ti bodo angeli začeli leteti iz riti, kot da se ti ji uspe približati.
 A ladja je prevelika s premajhnim krmilom.; Toda ladja je prevelika in ima premajhno krmilo.; Toda ta ladja je nepotopljiva.; To je torej ladja, za katero pravijo, da je nepotopljiva.
 Zavija prekleto slabo.; Močno se drži.; Nima ravno malo prtljage, kaj?; Tista vulgarna Brownovka gre.
 Vse kar ve, je narobe.; Nobenega smisla nima.; Vse njegovo znanje je ničvredno.; Ko nimaš ničesar, nimaš kaj izgubiti.
 Zagotavljam ti, da ni neprimerno.; Ne razumem te.; Rose, prepovedujem ti.; Ne bom se pretvarjal, da vem, zakaj.
 To je dnevna soba.; To je dobra plat Pariza.; To je Jack Dawson.; To je slabo.
 Bo ta svetloba v redu? -Kaj?; Bo ta svetloba ustrezna? -Kaj?; Kaj pa zdaj? -Kaj?; Sleci plašč, sinko. -Kaj je spet?
 Ne potrebujejo umetniki dobre svetlobe?; Mar umetniki ne potrebujejo dobre svetlobe?; Zakaj večerjo vedno najavljajo kot napad konjenice?; Ne bi raje spravili žensk in otrok v čolne?
 To je res, ampak jaz nisem navajen delati v takih groznih razmerah.; To je res, a nisem vajen delati v tako groznih pogojih.; Mislim, da nihče ne ve, kaj se dogaja tukaj.; Tega ne vidiš vsak dan.
 Monet!; Monet!; Mojbog!; Pankrt!
 Poznaš njegovo delo? -Seveda.; Poznaš njegovo delo? -Seveda.; Mi lahko pokažeš? -Seveda, če želiš.; Ste to iskali? -Ja.
 Poglej, kako tukaj uporablja barve. -Ni izvrsten?; Poglej, kako je tu uporabil barvo. Mar ni enkraten?; Čolni lahko popokajo. -Neumnost!; Bolj je podoben policaju. -Mislim, da je bil.
 Vem, izredno je.; Vem. Izjemna je.; V redu sem.; To je res izjemno potovanje.
 Cal jemlje to ogabno stvar povsod s sabo.; Cal vztraja, da vedno nosimo to obupno reč s sabo.; To je storila, da bi me ujezila.; Najbrž je bil živčen, a ni niti enkrat zajecljal.
 Ga v kratkem lahko pričakujeva?; Ga kmalu pričakuješ?; Je kakšna nejasnost?; Bo to pomagalo?
 Ne, dokler ne zmanjka cigar in žganja.; Dokler ne zmanjka cigar in brandyja, ga ne bo.; Ne brez tebe.; Tista vulgarna Brownovka gre.
 To je lepo. Kaj je to, safir?; Lepo. Je to safir?; Kaj?; Kaj?
 Diamant, zelo redek diamant.; Diamant. Zelo redek diamant.; Nevaren mrčes, ki ga je treba hitro poteptati.; 56-karaten, če sem natančen.
 Jack, rada bi, da me narišeš kot eno tistih Francozinj... s tem na sebi.; Jack, nariši me kot eno svojih Francozinj.; Mogoče ne takoj, ker si močna, ampak slej ko prej bo ogenj v tebi, ki mi je tako všeč, ugasnil.; Ničesar ti ne bi odrekel, če me le ne boš zavrnila.
 Prav.; Prav.; Prav.; Prav.
 Samo s tem na sebi.; Na, če misliš, da boš zmogel.; Ne brez tebe.; Navij, kot sem ti pokazal. Tako, ja.
 Zadnja stvar, ki jo potrebujem, je še ena slika, kjer izgledam kot porcelanska lutka.; Zadnja stvar, ki jo potrebujem, je še ena slika, na kateri izgledam kot porcelanasta punčka.; Takole. To je lepo. Ko potujem, vedno vzamem slike s sabo.; To sem si želel narediti, odkar sem enkrat videl v kinu.
 Kot stranka, ki plačuje, pričakujem, da bom dobila, kar želim.; Kot stranka, ki plača storitev, pričakujem, da bom dobila želeno.; To bom naredila z vašo pomočjo ali brez nje.; Zaenkrat bom potreboval le ženske in otroke.
 Tja, na posteljo... na kavč.; Ne, samo v njene roke.; Takoj nazaj na delo.; Za mano, prosim. Do konca hodnika.
 Pojdi... ulezi se.; Ulezi se.; Poberi se.; Obrni se.
 Povej mi, ko bo dobro. -Daj roko nazaj, tako kot prej.; Povej mi, ko bo v redu. -Daj roko, kot si jo imela prej.; Ne, hvala, nazaj moram. -Najbrž bo še najbolje.; Oprosti, Trudy. -Je že v redu.
 Tako.; A, tako.; Tako je.; Tako je.
 Dvigni drugo roko in daj dlan k obrazu.; Drugo roko dvigni k obrazu.; Dodaj malo moči, uporabi roke in usloči vrat.; Potegnite jo noter.
 Tako.; A, tako.; Tako je.; Tako je.
 Spusti glavo.; Spusti jih.; Stopi na ograjo.; Zdaj pa spusti glavo.
 Oči k meni, glej me.; Vseskozi me glej.; Daj mi roke.; Jaz sem, ljubica.
 In poskušaj biti pri miru.; In skušaj ostati pri miru.; Začni s tistimi zunaj.; In nikoli ne pozabi te obljube.
 Tako resen.; Semle, prosim. Tako, ja.; Veličasten je.; Prepozna sva.
 Zdi se mi, da zardevate, gospod Veliki Umetnik.; Zardevate, g. Umetnik.; Žal vas moram razočarati, g. Bodine.; Ne da bi hotel žaliti vaše delo, gospod.
 Ne predstavljam si gospoda Moneta, da zardeva.; Mojbog, poglej to reč.; Skoraj bi se lahko izdajali za gospoda.; Gospodična, ne bi smeli biti tu.
 On riše pokrajine. Sprosti obraz.; Spusti jih.; Primi se za ograjo. Oči imej zaprte.; Stopi gor.
 Oprosti. -Brez smeha.; Oprosti, Trudy. -Je že v redu.; Ne, hvala, nazaj moram. -Najbrž bo še najbolje.; Ne samo, ker si mi rešil življenje, ampak tudi zato, ker si ostal diskreten. -Ni za kaj.
 Srce mi je ves čas razbijalo.; Srce mi je ves čas razbijalo.; V sebi pa sem kričala.; Bila sem utrujena.
 To je bil najbolj erotičen trenutek mojega življenja.; Bil je najbolj erotičen trenutek v mojem življenju.; Nikoli ga nisem spustil v svoje srce.; To sem si želel narediti, odkar sem enkrat videl v kinu.
 Vsaj do takrat.; No, vsaj do takrat.; Ja, bolj ali manj.; Toda brez nje bo trajalo malo dlje.
 Kaj se je potem zgodilo? -Mislite, če sva kaj počela?; Je kdo tam? -Ja, kaj vidite?; Kaj pa zdaj? -Kaj?; Vstanite. Nadenite si rešilne pasove. -Čemu ta direndaj?
 Žal vas moram razočarati, gospod Bodine.; Žal vas moram razočarati, g. Bodine.; Ne da bi hotel žaliti vaše delo, gospod.; Morda boste le prišli na naslovnice, g. Ismay.
 Jack je bil zelo profesionalen.; Jack je bil zelo profesionalen.; Toda za mojo mater je bil kot mrčes.; G. Dawson je izjemen umetnik.
 Hvala.; Hvala.; Hvala.; Hvala.
 Kaj počneš?; Kaj počneš?; Cal, kaj počneš?; Kaj te je pičilo?
 Bi dal tole v sef zame?; Bi dal to nazaj v sef?; Je ves ta pribor zame?; Naj vse vzamem ven, gospodična?
 Mm-hmm.; Čakajta malo.; Je... -Diamant? Da.; Čakajta.
 Oprostite.; Oprostite.; Oprostite.; Oprostite.
 Nihče izmed osebja je ni videl. -To je smešno.; Ladja se je zatresla. -Ne skrbite, gospa.; Stopite noter, prosim. -Pridna punca si.; Čolni lahko popokajo. -Neumnost!
 To je ladja. Ni veliko mest, kjer se lahko skrije.; Toda ta ladja je nepotopljiva.; To je absurdno. Saj smo vendar na ladji.; Toda ladja je prevelika in ima premajhno krmilo.
 Lovejoy, najdi jo.; Lovejoy, najdi jo.; Pridi z mano, ljubica.; Daj mi roko.
 Jasno. -Da.; Jasno je. -Ja.; Je... -Diamant? Da.; Tale? -Ne.
 Mislim, da še nisem videl tako mirnega morja.; Mislim, da še nikoli nisem videl tako mirnega morja.; Mislim, da se zna ladja res potopiti.; Menda je na tej ladji kar v redu.
 Kot luža. Niti sapice vetra.; Kot zajezena voda. Niti sapice.; Ne, gospod. Nihče.; Ni ključa. Ni ga!
 Ledene gore bo teže opaziti, ker ni valov ob vznožju.; Ledene gore bo težje opaziti, ker voda ne bo butala vanje.; Voda je ledena in ni dovolj čolnov.; Nocoj je zunaj precej mrzlo.
 Hmm.; Dobro.; A, tako.; Vidiš?
 No, grem. Ohranite hitrost in smer, gospod Lightoller.; Napolnite čolne, g. Lightoller. Za božjo voljo!; Čakajte, gospod! Odprite vrata, prosim!; Rekel sem, da se umaknite. Pridite naprej, gospa.
 Da, gospod.; Ja, gospod.; Ja, gospod.; Ja, gospa.
 Hladno postaja. Lepo zgledaš.; Navij, kot sem ti pokazal. Tako, ja.; Vidim, da si svojega slugo poslal za mano. Tipično.; Daj, Rose, saj zmoreš.
