sentence1;setnence1;setnence2;setnence3
 In ko jo uničimo, bomo v njihov spomin naredili tak krater, da se ne bodo približali na manj kot tisoč kilometrov temu mestu nikoli več.; Ko ga bomo uničili, bomo naredili tako veliko luknjo v njihovem kolektivnem spominu, da se temu kraju ne bodo več približali.; Ljudje z neba so nam sporočili, da lahko vzamejo, kar hočejo, in da jih ne more nihče ustaviti.; Ljudem z neba bomo pokazali, da ne morejo vzeti, kar hočejo, in da je to naša zemlja.
 In tudi to bo postalo dejstvo.; In tudi to je dejstvo.; In bo postalo.; Ampak to se ne bo zgodilo.
 Jake, tu je norišnica.; Pazi, vozičkar.; Nimaš samo ti orožja, prasica.; Hej, vidva.
 Polna mobilizacija, shuttle so spremenili v bombnik.; RAZSTRELIVO Tu je noro. Splošna mobilizacija. Raketoplan predelujejo v bombnik.; Toruk Macta niso več potrebovali.; Tujci so se vrnili na svoj umirajoči planet.
 Naložili so cele palete rudarskega razstreliva za neko vrsto zastraševalne naloge.; Zunaj se domorodske horde zbirajo za napad.; Videli smo samo, kako je ta marinec izginil v grmovju, ko ga je lovil razdražen thanator.; To se zgodi, če proti njim uporabiš strojnice.
 Prekleti prasci.; Ustavi tule.; Prekleto.; Krasno.
 Quaritch je prevzel poveljstvo, podivjal je in ne bo se ustavil.; Quaritch je poslal plovila. Napadel bo Domače drevo.; Quaritch je prevzel vodstvo. Nič ga ne bo ustavilo.; Sully, spoznaj te divjake, pridobi njihovo zaupanje.
 Kdaj? -Zjutraj ob šestih.; Kdaj? –Jutri ob 6.00.; Če nočeš, da je tvoja punca tam, ko bomo napadli, naj se izselijo. Ena ura.; Enkratno.
 Moram prekiniti.; To moram končati.; Moram poskusiti.; Sploh mi ni treba braniti.
 Najebali smo.; Nasankali smo.; Premikamo se.; Imamo prvo ujemanje.
 Upala sem na nek taktični načrt, ki ne vključuje mučeništva.; Upala sem na taktični plan, ki ne bo zahteval mučeništva.; Slišal sem o njej, nisem pa si mislil, da bom šel tja.; Bil sem bojevnik, ki je mislil, da lahko prinese mir.
 Proti letalom se bomo borili z loki in puščicami.; Proti bojnim ladjam se bomo borili z loki in puščicami.; Udarili jih bomo v srce.; Vsi v tem oporišču se borimo za preživetje.
 Tam zunaj imam petnajst klanov.; Jaz poskrbim za svoje ljudi.; Ampak omogočal sem ji dostop do klana.; Ne potrebujem trota, ki rad strelja.
 Več kot dva tisoč bojevnikov.; Več kot 2000 bojevnikov.; Za silovito bombardiranje.; Tri izmene v Nigeriji, brez praske.
 Poznamo te planine, leteli smo med njimi, tudi ti si.; Samo hvala bi ti rekel, ker si jih pobila.; Zdaj pa je čas, da se vrneš.; Pogumen si, da si prišel sem.
 Oni pa niso.; Saj to ni res!; Ne bodo se pogodili.; In tu bodo storili isto.
 Njihove naprave tukaj ne delujejo, usmerjanje raket ne deluje.; Njihovi instrumenti tu ne bodo delali. Sledilne naprave tudi ne.; Vsi v tem oporišču se borimo za preživetje.; Ti divjaki ogrožajo našo operacijo, na robu vojne smo in ti naj bi iskala diplomatsko rešitev.
 Streljali bodo lahko samo na to, kar vidijo.; Zanašati se bodo morali na vid.; Če bomo izgledali in govorili kot oni, nam bodo zaupali.; Morali bi videti svoje obraze.
 Če se pridejo borit k nam, bomo imeli prednost zaradi terena.; Prednost domačega igrišča imamo.; Če bi bil na pripravah, bi to vedel.; Mislim, da je drugi obroč nosilen.
 Saj veš, da bo bombnik poslal naravnost na drevo duš.; Samo hvala bi ti rekel, ker si jih pobila.; Ne igraj se s tem, oslepel boš.; Stran morava, uničil bo stolpe.
 Vem.; Stran.; Človek, ne!; Neytiri, prosim. Prosim.
 Če pridejo do njega, je konec.; Če pridejo do Drevesa duš, je konec.; Ampak to se ne bo zgodilo.; Torej ga moramo ustaviti.
 To je njihova direktna povezava z Eywo, z njihovimi predniki.; Na'vi to vedo, zato ga branijo.; Vsi Na'vi poznajo to zgodbo.; Ko vzpostaviš tsaheylu, ikran leti samo še s tabo.
 To jih bo uničilo.; Ampak to se ne bo zgodilo.; Torej ga moramo ustaviti.; Uničilo bi jih.
 Potem pa jih raje ustavimo.; Razen če jih ustavimo.; Gotovo nas že opazujejo.; Torej ga moramo ustaviti.
 Verjetno se zdaj pogovarjam samo z drevesom.; Verjetno se pogovarjam z drevesom.; Lahko bi me zakrpali, če bi šel nazaj.; Sploh mi ni treba braniti.
 Če pa si tam, ti moram nekaj povedati.; Ampak če si tu, bi te rad opozoril.; Če dovoliš, bi rad nekaj povedal.; Mogoče te bom kar poljubil.
 Če je Grace s teboj, poglej v njene spomine.; Če je Grace s tabo, poglej v njene spomine.; Potem bomo videli, ali je tvoja blaznost ozdravljiva.; Povej jim, da bodo kmalu tu.
 Poglej svet s katerega prihajamo.; Poglej svet, od koder prihajamo.; Poglej okrog sebe.; Pojdi nazaj.
 Tam ni ničesar zelenega.; Tam ni zelenja.; Tu je deset na dvanajsto dreves.; Verjetno se pogovarjam z drevesom.
 Ubili so lastno mati.; Ubili so svojo mater.; Začeli so streljati.; Samo peščica jih je lahko ostala.
 Enako bodo naredili tukaj.; Tja bomo šli.; In tu bodo storili isto.; Ampak to se ne bo zgodilo.
 Še več ljudi bo prišlo iz nebes.; Še več ljudi z neba bo prišlo.; Prišli bodo kot dež, ki ga ni nikoli konec.; Bombnik bo poslal nad Drevo duš.
 Prihajalo bodo kot dež, ki ga ni nikoli konec.; Prišli bodo kot dež, ki ga ni nikoli konec.; Še več ljudi z neba bo prišlo.; Samo še slabše bo.
 Razen, če jih zdaj ustavimo.; Razen če jih ustavimo.; Torej ga moramo ustaviti.; In tu bodo storili isto.
 Zaradi nečesa si me izbrala.; Za nekaj si me izbrala.; Brez tebe mi ne bo uspelo.; Vem, kdo si. Ne potrebujem tebe, ampak tvojega brata.
 Uprl se bom in se boril.; Uprl in boril se bom.; Ne bo mi uspelo.; Ne, uspelo mi bo.
 Dobro veš, da se bom res.; Veš, da se bom.; To ti najbrž ne bo težko.; Vem, da ti lahko.
 Potreboval pa bi malo pomoči.; Vendar potrebujem pomoč.; Pomoč ti bom poiskal.; Tvojo pomoč rabim.
 Naša Velika mati se ne odloča za nobeno stran.; Naša Velika mati ne izbira strani, Jake.; Ta tujec se ne bo ničesar naučil.; Tujci ne smejo tja.
 Varuje samo ravnotežje življenja.; Ohranja samo ravnotežje življenja.; Bolje ga moramo spoznati.; Torej ga moramo ustaviti.
 Splačalo se je poskusiti.; Splačalo se je poskusiti.; Ampak to je bila le teorija.; Ljudi z neba smo poskusili učiti.
 Govori vodja skupine, vstopamo v energetski vrtinec.; Od tod naprej smo VFR.; Bravo 11, zavij levo.; Tu vodja skupine. Vstopamo v Vrtinec.
 Preklopite na ročno upravljanje.; Pripeljite na stezo D, vključite oddajnik.; Ko se rampa spusti, pojdite naravnost v bazo.; Izključi elektriko.
 Govori oče zmaj.; Še kamen več vidi.; Molči in leti naravnost.; Tsahik je. Eywino voljo tolmači.
 Hočem, da odprava poteka brez napak. Za večerjo hočem biti doma.; Nočem zamuditi na svojo zabavo.; Zdaj pa moram iti.; Vodja varnostnikov sem. Moja naloga je, da vas ohranim žive.
 Oklepniki, gremo.; Gremo, gremo!; Gremo, gremo!; Gremo, gremo!
 Prav, dame, pokažimo jim bolečino.; Opravimo to, ljudje.; Dovolite mi, da jih prepričam.; Tudi mi bomo njim poslali sporočilo.
 Odprite oči, preverjajte vse pred vami.; Ves čas se zavedajte tega.; Ostanite na položajih. Nekaj se bliža.; Pripravite vse orožje.
 Pazite na toplotne posnetke.; Če vam bo slabo, uporabite vrečko.; Pojezdite hitro, kolikor vas veter nese.; Nikar ne vstajajte.
 Vse enote, očka prevzema poveljstvo.; Glavni napreduje proti tarči.; Vse enote, vklopite izstrelke.; Oče se odloča, ali naj te ubije.
 Gremo proti tarči.; Glavni napreduje proti tarči.; Preleteli smo zunanji marker. Vidimo rudnik.; Napredujte k tarči. –Napredujemo k tarči.
 Spremstvo, bodite v bližini mojega letala.; Dovolite mi, da jih prepričam.; Vodja varnostnikov sem. Moja naloga je, da vas ohranim žive.; Izpeljite to ostro in odločno, da bom do večerje doma.
 Tukaj nam bodo oskubili malo barve.; Prišli bodo kot dež, ki ga ni nikoli konec.; Gotovo nas že opazujejo.; Tja bomo šli.
 Strelne posadke, dobro odprite oči.; Strelci, glejte na vse strani.; Škorpijoni, zasledujte in uničite.; Pripravite vse orožje.
 Ne delajte napak, ljudje, gotovo so nekje tukaj.; Verjemite, da so tam.; Tega nočete imeti na vesti, verjemite.; Opravimo to, ljudje.
 V redu, tarča na vidiku. Oddaljenost štiri kilometre.; Tarče se bližajo. Doseg: 400 metrov.; V redu. Lokacija: koča.; 100 metrov. Hitro se bliža.
 Valkira 16, pripravite svoj tovor.; Valkira 1–6, pripravi svoj tovor.; Odpnite se. Vzemite prtljago.; Spremljevalci, ostanite pri raketoplanu.
 Razumem. -Naložimo tovor.; Daj mi roko. Vsi smo notri. Gremo!; Trudy, vžgi ladjo. Gremo!; Sem že. Pojdimo.
 Da, gospod. -Držite svoj položaj.; Zveni dobro, gospod.; Tvoj oče. Me veseli, gospod.; Hčerka, vzemi moj lok.
 Porinimo ga k rampi!; Bežite!; Spravi ga k rampi!; Odvrzi, odvrzi! Dajmo!
 Ostanite na svojem mestu.; Ves čas se zavedajte tega.; Pripravite vse orožje.; Tega nočete imeti na vesti, verjemite.
 Gospod, na tleh so opazili premike.; Eytukan, nekaj bi rad povedal.; Jake, Eywa te je slišala.; Rekel sem, da sanjehodci ne smejo sem.
 V strelno črto! -Tarče se približujejo.; Podrite ga! –Izstrelite izstrelke.; Glavni napreduje proti tarči.; Vse enote, vklopite izstrelke.
 Oddaljenost 400 metrov.; Tarče se bližajo. Doseg: 400 metrov.; Čas do tarče: 2 minuti.; V redu. Lokacija: koča.
 Lahko očistite sliko? -Ne, gospod, zaradi vrtinca.; Pomirite se! –Ne, prosim.; Ste videli to? –Da, gospod.; Eytukan, nekaj bi rad povedal.
 Brat, naredil nam bom prehod, sledi mi skozi njega.; Sedi, za tvojo varnost gre.; Toruk Macto, letel bom s tabo.; Gremo, posebni primer. Ne bom te čakal.
 Vse letala, odprite ogenj.; Tiho, prosim! Ugasnite luči.; Bravo 11, zavij levo.; Pripravite vse orožje.
 Zavij desno, obrnimo se.; Tako ja. Nagni se na levo.; Vzemi ikrana, napadi od zgoraj.; Bravo 11, zavij levo.
 Zapustite formacijo, napadite sovražnike.; Razbijte formacijo, uničite sovražnika.; Pripravite vse orožje.; Vse enote, vklopite izstrelke.
 Škorpijoni, zasledujte jih in jih uničite.; Škorpijoni, zasledujte in uničite.; Strelci, glejte na vse strani.; Lačni in šibki boste.
 Jake, Jake, me slišiš?; Jake, me slišiš?; Me slišiš, Neytiri?; Rogue 1, me slišiš?
 Umikamo se! Potolkli so nas!; Streljajo na nas. Gremo!; Naj spoznajo, da se ne ustavimo. Gremo!; Samo drevesa so!
 Razumem, umaknite se.; Dovolite mi, da jih prepričam.; Izpeljite to ostro in odločno, da bom do večerje doma.; Vem, da imate sitnosti zaradi tega.
 To je on, za njim!; To je on. Za njim!; Za mano!; Brat, prebil se bom. Za mano!
 Uničite ga!; Uničite ga!; Uničite jih!; Razstrelite jo!
 Posvetite ji.; Ves čas se zavedajte tega.; Pripravite vse orožje.; Za začetek jo poslušajte.
 Niste edini z orožjem, prasci.; Na Pandori ste, gospe in gospodje.; Za vašega brata gre.; Težko orožje imate.
 Ne izgubite je iz oči!; Uničite jih!; Razstrelite jo!; Uničite ga!
 Tako je prav!; V redu je.; V redu je.; Gremo, hitro!
 Odpadnica ena je zadeta. Padam!; Rogue 1 je zadet. Nazaj grem.; Naprej, naprej … Stoj.; Brat, prebil se bom. Za mano!
 Žal mi je, Jake.; Žal mi je, Jake.; V redu. Žal mi je.; Vidim te.
 Ogenj!; Ogenj!; Bojevnik!; Oče!
 Tsu'Tey, brat, me slišiš?; Tsu'tey! Brat, me slišiš?; Kaj delaš, Tsu'tey?; Me slišiš, Neytiri?
 Odpadnica ena, me slišiš?; Jake, me slišiš?; Me slišiš, Neytiri?; Rogue 1, me slišiš?
 Trudy?; Jake?; Trudy!; Jake!
 Do tarče še dve minuti. -Valkira 16, lahko napadete.; Valkira 1–6, lahko napadeš.; Tarče se bližajo. Doseg: 400 metrov.; Link je pripravljen. –Ujemanje 40 %.
 Razumem, zmaj, začenjamo bombardiranje.; Rogue 1 je zadet. Nazaj grem.; Razumem. Začel bom odmetavati bombe.; Poveljnik, pripravljeni smo.
 Odvrzite številko ena!; Razstrelite jo!; Uničite ga!; Uničite jih!
 Številka ena pripravljena!; Strela jasna!; Gremo, hitro!; Bravo 11, nekaj velikega na zaslonih.
 Jake!; Jake!; Jake!; Jakesully!
 Slišim te.; Slišim te.; Slišim jih.; Poslušaj me. Jake!
 Neytiri.; Tsaheylu.; Mojbog.; Mojbog.
 Čisto blizu so, tako veliko jih je.; Zelo blizu so. Veliko jih je.; Tu je deset na dvanajsto dreves.; Sovražnik je tam zunaj in zelo močan je.
 Ne napadaj.; Ne napadaj.; Ustavi se malo.; Ne napadaj!
 Si slišala, Neytiri?; Me slišiš, Neytiri?; Jake, me slišiš?; Eywa te je slišala!
 Ne napadaj!; Ne napadaj!; Poberi se!; Pazi!
 Umakni se, beži proč! To je ukaz!; Umakni se. Pojdi stran! To je ukaz!; Zbudi se! Jake, zbudi se!; Nikoli se ne vrni!
 Neytiri!; Neytiri!; Neytiri!; Neytiri!
 Opažam premikanje.; Na tleh se nekaj premika. Hitro se bliža.; Dragon na levi. Vračam se domov.; Slišim jih.
 Ostanite na položaju.; Pojezdite hitro, kolikor vas veter nese.; Spustite ga.; Pripeljite ga.
 Nekaj prihaja.; In še več jih prihaja.; Slišim jih.; Gotovo nas že opazujejo.
 Opažam premike, oddaljenost 200 metrov.; Vsak dan se učim prepoznavati sledi pri napajališču.; Veliko dreves vidim. Lahko se preselijo.; Verjetno se pogovarjam z drevesom.
 Pripravite se.; Pripravite vse orožje.; Ves čas se zavedajte tega.; Nikar ne vstajajte.
 Bežimo proč!; Bežite!; Odvrzi, odvrzi! Dajmo!; Umik! Bežite!
 Umaknite se!; Zbežite!; Ubogajte pravila.; Ne bojte se.
 Jake!; Jake!; Jake!; Jakesully!
 Eywa te je slišala.; Jake, Eywa te je slišala.; Eywa te je slišala!; Bala sem se, Jake.
 Eywa te je slišala!; Eywa te je slišala!; Me slišiš, Neytiri?; Poslušaj me. Jake!
 Gospod, vse spremljevalne enote so uničene ali pa se umikajo.; Spremljevalci, ostanite pri raketoplanu.; Vse enote, vklopite izstrelke.; Vsi v tem oporišču se borimo za preživetje.
 Opravimo že s tem.; Opravimo to, ljudje.; V redu, začnimo.; Tako se to dela.
 Valkira 16, tukaj zmaj, nadaljujte proti tarči.; Ko se rampa spusti, pojdite naravnost v bazo.; Pripeljite na stezo D, vključite oddajnik.; Glavni napreduje proti tarči.
 Razumem. Napredujemo proti tarči. Pripravite se za met, še 30 sekund.; Podrite ga! –Izstrelite izstrelke.; Gremo! –Odpnite se. Eno minuto!; Rogue 1 je zadet. Nazaj grem.
 Na moj znak. Dva, ena, zdaj.; Na moj znak. Dve, ena, zdaj.; Veš, kaj to pomeni. Na tla.; Nekaj let pred tabo. Ali pa več.
 Odvrzi!; Zbežite!; Pazi!; Pazi!
 To je Sully!; Kaj za vraga delaš, Jake!; Človek, ne!; Eywa te je slišala!
 Nataknite si maske! -Izgubljamo zrak!; Razstrelite jo!; Uničite jih!; Uničite ga!
 Pridi k očku.; Pridita k očku.; Pridi.; Pridi.
 Predaj se, Quaritch.; Dobro se uči, Jakesully.; Hej, vidva.; Prebudi se.
 Konec je.; Konec je.; Dokler diham, ni konec.; Če pridejo do Drevesa duš, je konec.
 Ni konec dokler še diham.; Dokler diham, ni konec.; V štirico bom šla.; Ne, uspelo mi bo.
 Na nek način sem kar upal, da boš to rekel.; Upal sem, da boš to rekel.; Če dovoliš, bi rad nekaj povedal.; Slišal sem o njej, nisem pa si mislil, da bom šel tja.
 Pridi!; Pridi!; Pridi!; Pridi.
 Sully, kakšen je občutek ko izdaš lastno raso?; Hej, Sully, kako je, če izdaš lastno raso?; Rogue 1, me slišiš?; Si mislil, da boš prišel sem, v najbolj sovražno okolje, kar jih poznamo, in videl, kako bo šlo?
 Misliš, da si eden izmed njih?; Misliš, da si eden od njih?; Ni to namen tvojih lutk?; Si se izgubil v gozdu?
 Čas je, da se zbudiš.; Zdaj pa je čas, da se vrneš.; Toda prej ali slej se moraš zbuditi.; Še nocoj se vrneš na Zemljo.
 Jake!; Jake!; Jake!; Jakesully!
 Jake...; Jake Sully.; Jake.; Jake?
 Jake...; Jake Sully.; Jake.; Jake?
 Jake! Moj Jake!; Oče!; Oče!; Moji bratje! Sestre!
 Vidim te.; Vidim te.; Vidim te.; Oče, vidim te.
 Vidim te.; Vidim te.; Vidim te.; Oče, vidim te.
 Tujci so odšli nazaj na svoj umirajoči svet.; Tujci so se vrnili na svoj umirajoči planet.; Ko so ostali brez doma in upanja, so se lahko zatekli le na en kraj.; Tista drevesa so bila za Omaticaye sveta.
 Le redke smo izbrali, da lahko ostanejo.; Nič takega nimamo, kar bi jih mikalo.; Ker nismo edini, ki letijo tam okrog.; Gotovo nas že opazujejo.
 Čas velikega žalovanja se je končal.; Čas velike žalosti je bil pri koncu.; Težko je verjeti, da so minili samo trije meseci.; V času velike žalosti je združil klane.
 Toruk Makto ni več bil potreben.; Toruk Macta niso več potrebovali.; Toruk macto je bil mogočen.; Toruk ga je izbral.
 Mislim, da je to moj zadnji posnetek.; Obožujem to palico. Obožujem to palico.; Sploh mi ni treba braniti.; Lahko bi me zakrpali, če bi šel nazaj.
 Karkoli se bo nocoj zgodilo...; Ampak to se ne bo zgodilo.; Ali nekaj takega.; Eno življenje se konča, drugo začne.
 Tako ali drugače, ne bom se več vrnil na ta kraj.; Karkoli se bo že zgodilo nocoj, kakorkoli se bo izteklo, nazaj sem me ne bo več.; Karkoli sem že naredil, mi je žal.; Lahko bi me zakrpali, če bi šel nazaj.
 Čas bo, da grem.; Zdaj pa moram iti.; Ne, uspelo mi bo.; V štirico bom šla.
 Ne bi rad zamudil na lastno zabavo.; Nočem zamuditi na svojo zabavo.; Če dovoliš, bi rad nekaj povedal.; Ne potrebujem trota, ki rad strelja.
 Navsezadnje je to moj rojstni dan.; Navsezadnje je moj rojstni dan.; Mogoče te bom kar poljubil.; Če ne bi prišla, bi bilo po meni.
 Jake Sully končuje.; Jake Sully končuje poročilo.; Charlie 21, nekaj se premika.; Zdaj je pri Eywi.
