 In te so bile narisane v živo?; Te tega niso naučili v dekliški šoli?
 No, to je dobra stran Pariza.; To je dobra plat Pariza.
 Veliko punc se je pripravljenih sleči.; Veliko deklet se je pripravljeno sleči.
 Velikokrat si jo narisal.; Večkrat si jo uporabil.
 Lepe roke je imela, vidiš?; Ta ženska ti je bila všeč.
 Mislim, da si imel razmerje z njo.; Najbrž si bil zaljubljen v njo.
 Ne. ne, ne, ne, ne. Samo z njenimi rokami.; Za nekaj časa se bova ločila. Samo za nekaj časa.
 Ah, imela pa je dober smisel za humor.; Je pa imela dober smisel za humor.
 Imela je navado sedeti vsak večer v nekem baru z vsemi kosi nakita na sebi, ki jih je imela, in čakala na svojo davno izgubljeno ljubezen.; Ta gospa pa je vsak večer sedela v tem lokalu in imela na sebi ves svoj nakit ter čakala na izgubljeno ljubezen.
 Rekli smo ji gospa Bižu.; Klicali smo jo Madame Bijoux.
 Vidiš, kako so ji molji preluknjali obleke?; Vidiš, kako daleč je letel?
 No, nadarjen si, Jack.; Nadarjen si, Jack.
 Vidim tebe.; Vidiš ljudi. -Vidim tebe.
 Toda smisel univerze je najti ustreznega moža.; Namen univerzitetne izobrazbe je, da si dekle najde primernega moža.
 Rose ga že ima.; Rose je to že storila.
 Glej, prihaja tista prostaška Brownova.; Glej, kaj je tukaj.
 Hitro, preden se usede k nama.; Hitro vstanimo, preden prisede.
 Živijo, punci. Upala sem, da vaju bom ujela pri čaju.; Živjo, punce. Upala sem, da vas bom dobila pri čaju.
 Grozno nama je žal, da ste ga zamudili.; Škoda, da nisem obdržal tiste risbe.
 Grofica in jaz sva se ravno hoteli sprehoditi po palubi.; Z grofico se ravno odpravljamo na svež zrak na palubo.
 Kako čudovita zamisel. Moram zvedeti nove govorice.; Čudovita zamisel. Priti moram na tekoče z govoricami.
 Torej še niste prižgali zadnjih štirih kotlov?; Še niste zagnali zadnjih štirih kotlov?
 Novinarji že poznajo velikost Titanika.; Tisk ve za velikost Titanika.
 Zdaj bi rad, da občudujejo njegovo hitrost.; Zdaj hočem, da se čudijo njegovi hitrosti.
 Moramo jim dati nove snovi.; Dati jim moramo nekaj novega, o čemer bodo lahko pisali.
 To prvo potovanje Titanika mora priti na naslovnice.; Krstno potovanje Titanika mora priti na naslovnice.
 Gospod Ismay, raje bi videl, da ne priganjamo strojev, dokler se dobro ne utečejo.; Gospodična, ne bi smeli biti tu.
 Seveda sem jaz samo potnik.; Seveda sem zgolj potnik.
 Vašim izvrstnim častnikom prepuščam, da odločijo, kaj je najbolje.; Imam dogovor s častnikom na drugi strani.
 Toda kako veličasten konec vašega zadnjega prečkanja, če bi prišli v New York v torek zvečer in vse presenetili.; A vaše zadnje potovanje bi bilo res veličastno, če bi v New York prispeli v torek zvečer in vse presenetili.
 Prišli v jutranje časnike. Upokojitev v velikem slogu, kaj E.J.?; To bi bila spektakularna upokojitev, kajne, E.J.?
 No, potem sem lovil lignje v Montereyu.; Ves ta čas sem mislil le na Titanik.
 Nato sem odšel v Los Angeles na pomol v Santa Monici in tam začel risati portrete po 10 centov na sliko.; Potem sem v Montereyu delal na ladji, ki je lovila lignje, nato sem odšel v Los Angeles na pomol v Santa Monici in začel risati portrete za 10 centov.
 Zakaj ne morem biti kot ti, Jack... se samo odpraviti proti obzorju, kadar mi paše.; Mogoče ne takoj, ker si močna, ampak slej ko prej bo ogenj v tebi, ki mi je tako všeč, ugasnil.
 Reci, da bova šla kdaj do tistega pomola, pa četudi vedno samo govoriva o tem.; Reci, da bova enkrat šla na tisti pomol, tudi če bova vedno samo govorila o tem.
 Ne, šla bova.; Ne, res bova šla. Pila bova poceni pivo, se vozila z vlakom smrti, dokler ne bova bruhala.
 Pila bova ceneno pivo. Se vozila na vrtiljaku, dokler ne bruhava.; Ne, res bova šla. Pila bova poceni pivo, se vozila z vlakom smrti, dokler ne bova bruhala.
 Potem bova jahala konje na plaži v morski peni.; Nato bova jahala konje po plaži, neposredno v valove.
 Ampak morala boš jahati kot pravi kavboj. Ne postrani na sedlu.; Toda morala boš jahati kot pravi kavboj in ne postrani.
 Misliš, eno nogo na vsaki strani? -Ja.; Z eno nogo na vsaki strani? -Ja.
 Mi lahko pokažeš? -Seveda,... če hočeš.; Mi lahko pokažeš? -Seveda, če želiš.
 Nauči me jahati kot moški. -In žvečiti tobak kot moški.; Povej mi, ko bo v redu. -Daj roko, kot si jo imela prej.
 Te niso tega naučili v dekliški šoli?; Te tega niso naučili v dekliški šoli?
 Dajva. Pokazal ti bom, kako. Pridi.; Se mi je kar zdelo. Pridi.
 Počakaj, Jack. Ne, Jack. Ne morem, Jack.; Ne spusti moje roke.
 To je ogabno! -Prav, ti si na vrsti.; Si videl, kaj se je zgodilo? -Ne, zamudil sem.
 To je bilo žalostno!; Vse je bilo krivo.
 Daj, no, moraš res potegniti nazaj, veš?; Rose, s tabo ni šale, veš?
 Zravnaj hrbet. Uporabi roke, ukrivi vrat.; Dodaj malo moči, uporabi roke in usloči vrat.
 To je bilo bolje. Ampak moraš še vaditi. -Res?; To je bilo bolje. Vaditi moraš. -Res?
 Me veseli.; Res me veseli.
 Ostali so bili prijazni in radovedni do človeka, ki mi je rešil življenje, toda moja mati je gledala nanj kot na mrčes, nevaren mrčes, ki ga je treba hitro pohoditi.; Ostale so ljubeznivo in radovedno opazovale moškega, ki mi je rešil življenje.
 Torej, Jack, slišim, da je dobro, če ste pri roki ob težavah.; Jack, očitno te je v težavnih situacijah dobro imeti pri roki.
 Zakaj vztrajajo pri napovedovanju večerje, kot da je konjeniški napad?; Zakaj večerjo vedno najavljajo kot napad konjenice?
 Se vidimo na večerji, Jack.; Se vidiva pri večerji, Jack.
 Sinko? Sinko!; Sinko!
 Imaš najmanjši pojem, kaj počneš?; Se ti vsaj malo sanja, kaj počneš?
 Pravzaprav ne.; Ne, žal ne.
 No, odpravljaš se v kačjo votlino.; Vkorakal boš v kačje gnezdo.
 Kaj nameravaš obleči?; Kaj si nameraval obleči?
 Se mi je zdelo. Pridi.; Se mi je kar zdelo. Pridi.
 Ti in moj sin sta približno enako visoka.; Z mojim sinom nosita enako velikost.
 Dober večer.; Dober večer, gospod.
 Mogoče veste, da je nekaj tisoč ton Hockleyjevega jekla v tej ladji?; Koliko ljudi je na ladji, g. Murdoch?
 Hmm. V katerem delu? -V vseh pravih, seveda.; Katere dele? -Najpomembnejše, seveda.
 Potem vemo, kdo je odgovoren, če gre kaj narobe.; Potem bomo vedeli, koga kriviti, če bo kakšna težava.
 Kje je moja hči? -Oh, takoj pride.; Velika barka, kaj? -Očka, to je ladja.
 Dober večer, Cal. -Lepo vas je videti.; Lepo vas je videti.
 To sem videl nekoč v kinu in sem vedno želel poskusiti.; To sem si želel narediti, odkar sem enkrat videl v kinu.
 Vidimo se pri večerji.; Mogoče bi se nam jutri zvečer pridružili pri večerji.
 Dragi? Gotovo se spominjaš gospoda Dawsona.; Dragi, gotovo se spomniš g. Dawsona.
 No, osupljivo. Skoraj bi te lahko imeli za gospoda.; Vidim, da si svojega slugo poslal za mano. Tipično.
 Draga, krasno te je videti.; Draga, čudovito vas je videti.
 Kako nenavadno potovanje je tole.; To je res izjemno potovanje.
 Noro, kajne? -Všeč mi je vaš parfum.; Neverjetno je, kajne? -Nadvse veličastno.
 Tam je grofica od Rothesa.; Tamle je grofica Rotheška.
 In, um, tisto je John Jacob Astor, najbogatejši človek na ladji.; In tisto je John Jacob Astor, najbogatejši človek na ladji.
 Tisto je njegova mala žena Madeleine, ki je mojih let in je v pričakovanju.; Ta gospa pa je vsak večer sedela v tem lokalu in imela na sebi ves svoj nakit ter čakala na izgubljeno ljubezen.
 Vidiš, kako se trudi skriti?; Vidiš, kako skuša skriti?
 In tisto je Benjamin Guggenheim in njegova ljubica gospa Aubert.; In tisto je John Jacob Astor, najbogatejši človek na ladji.
 Gospa Guggenheim je seveda doma z otroki.; Gospa Guggenheim je seveda doma z otroci.
 Tukaj pa imamo gospoda Cosma in Lucille, gospo Duff-Gordon.; To pa sta sir Cosmo in Lucile, lady Duff-Gordon.
 Zelo je priljubljeno pri plemstvu.; Zelo priljubljeno je med plemstvom.
 Čestitke, Hockley. Sijajna je.; Čestitam, Hockley. Čudovita je.
 Sladkorček. -Nič takega ni, kajne, Jack?; Utihni. -Saj sploh ni tvoj žep, kajne, sinko?
 Zapomni si, obožujejo denar, zato se pretvarjaj, da imaš rudnik zlata, pa boš v klubu.; Pretvarjaj se, da si lastnik zlatega rudnika, in zlil se boš mednje.
 Hej, Astor! -Živijo, Molly. Lepo te je videti.; Imajo te v pasti, Rose.
 Kako ste? -Me veseli.; Pozdravljeni. -Me veseli.
 Ne... Dawsonov iz Chippewa Fallsa, pravzaprav.; Ne, tistih iz Chippewa Fallsa.
 Oh, da. Da.; Je... -Diamant? Da.
 Verjetno je bil živčen, a ni niti trenil.; Najbrž je bil živčen, a ni niti enkrat zajecljal.
 Domnevali so, da je eden izmed njih...; Domnevali so, da je eden izmed njih.
 Novopečen bogataš, očitno, a vseeno član kluba.; Nov denar, kajpada, a še vedno eden bogatih.
 Na mater je bilo seveda vedno treba računati.; Seveda je mati ostala zvesta sama sebi.
 Povejte nam o namestitvi v podpalubje, gospod Dawson.; Povejte nam o namestitvi v podpalubju, g. Dawson.
 Slišim, da je na tej ladji dobro urejeno.; Menda je na tej ladji kar v redu.
 Najboljše, kar sem videl, gospa. Podgan skoraj ni.; Boljše še nisem videl. Skoraj nič podgan ni.
 Gospod Dawson se nam je pridružil iz tretjega razreda.; G. Dawson prihaja iz tretjega razreda.
 Sinoči je bil v pomoč moji zaročenki.; Sinoči je pomagal moji zaročenki.
 Izkazalo se je, da je gospod Dawson pravi umetnik.; G. Dawson je izjemen umetnik.
 Bil je tako prijazen, da mi je dovolil pogledati nekaj njegovih del.; Bil je tako prijazen in mi danes pokazal nekaj svojih stvaritev.
 Rose in jaz se nekoliko razhajava pri definiciji umetnosti.; Z Rose imava različne predstave o umetnosti.
 Ne da bi omalovaževal vaša dela, gospod.; Ne da bi hotel žaliti vaše delo, gospod.
 Mogoče je moja na papirju, a v očeh boga pripada Thomasu Andrewsu.; Mogoče sem jo zbil skupaj, a idejo je dal g. Ismay.
 Je to vse zame?; Je ves ta pribor zame?
 Samo od zunaj na noter jemlji.; Samo še malo zdrži.
 Pozna vsako zakovico v njej, kajne, Thomas?; Vsako zakovico pozna, ni tako, Thomas?
 Vaša ladja je zares čudež. -Hvala, Rose.; Prišlo je do majhne nesreče. -Nič hudega, gdč. Rose.
 In kako naj vam postrežem kaviar, gospod? -Nič kaviarja zame, hvala.; Nič kaviarja zame, hvala.
 Nikoli mi ni bil všeč.; Nikoli ga nisem maral.
 In kje natančno živite, gospod Dawson?; Kje točno živite, g. Dawson?
 Moj trenutni naslov je R.M.S. Titanik.; Trenutno je moj naslov RMS Titanik.
 In kako si lahko privoščite potovanje?; In kje dobite sredstva za potovanje?
 Toda karto za Titanik sem dobil pri srečni roki pokerja.; Toda vozovnico za Titanik mi je prinesla sreča pri pokru.
 Vse življenje je igra na srečo. -Mmm.; To je noro. -Vem.
 In tako klateško življenje se vam zdi privlačno?; Vam je tako življenje brez korenin všeč?
 Da, gospa, tako je.; Nisi rekla, da odhajaš? -Tako je.
 Vse kar potrebujem, imam tukaj s sabo.; Vse, kar potrebujem, imam pri sebi.
 Rad se zbujam zjutraj, ne da bi vedel, kaj me ta dan čaka ali koga bom spoznal, kje bom končal.; Rad se zbudim zjutraj, ne da bi vedel, kaj se bo zgodilo, koga bom srečal ali kje bom končal.
 Nekaj noči nazaj sem spal pod mostom, zdaj pa sem tu, na največji ladji na svetu pijem šampanjec z vami.; Pred nekaj dnevi sem spal pod mostom, zdaj pa sem na najveličastnejši ladji na svetu in pijem šampanjec z vami.
 Mislim, da je življenje darilo in jaz ga ne mislim zapraviti.; Življenje je dar in ne mislim ga zapraviti.
 Nikoli ne veš, kakšno roko ti bodo podelili naslednjič.; Nikoli ne veš, kaj te čaka.
 Dobro povedano, Jack. -Tako je.; Dobro povedano, Jack. -Se strinjam.
 Naj šteje.; Naj gre vse k vragu.
 Gospod Brown ni imel pojma, da sem skrila denar v peči.; Mojemu možu se ni niti sanjalo, da sem denar skrila v peč.
 In ko je praznoval je prišel domov pijan kot svinja in zakuril.; Prišel je domov pijan kot mavra, praznoval in prižgal ogenj.
 Sledi žganje v kadilnici.; Sledi brandy v kadilnici.
 Zdaj se umaknejo v oblak dima in si čestitajo, ker so gospodarji vesolja.; Zdaj se bodo umaknili, prižgali cigarete in si čestitali, ker vladajo svetu.
 Dame, hvala za zadovoljstvo vaše družbe.; Dame, hvala za vašo prijetno družbo.
 Rose, te smem pospremiti nazaj v kabino?; Rose, kako si ugotovila, da nisem ukradel diamanta?
 Se na boste pridružili, Dawson?; Se nam boš pridružil, Dawson?
 Ne, hvala. Počasi se bom vrnil nazaj.; Takoj bom nazaj.
 Ah. -Verjetno bo najbolje.; Ne, hvala, nazaj moram. -Najbrž bo še najbolje.
 Sami posli in politika bodo, take stvari...; Samo o poslih in politiki bomo govorili.
 Ne bi vas zanimalo.; Ne bi te zanimalo.
 Toda Dawson, lepo, da ste prišli.; Toda, Dawson, lepo, da si prišel.
 Čas je, da se vrnem k veslom z ostalimi sužnji.; Čas je, da zaveslam z ostalimi sužnji.
" ""Naj šteje. Dobiva se pri uri."" Bi rada šla na pravo zabavo?"; Bi šla rada na pravo zabavo?
 Je v redu, če dam roko sem? Prav.; Lahko dam roko sem? Prav.
 Ne razumem.; Ne razumem te.
 Zdaj bom plesal z njo, prav?; Zdaj bom zaplesal z njo, prav?
 Pridi. -Kaj?; Kaj pa zdaj? -Kaj?
 Pridi z mano. Kaj? Jack... Jack, počakaj!; Pridi z mano. -Jack, čakaj.
 Tega ne morem.; Tega ne vidiš vsak dan.
 Morala se bova malo približati.; Malce bolj skupaj bova morala stopiti.
 Še vedno si moja najboljša, Cora.; Še vedno si moja najljubša, Cora.
 Ne poznam korakov. -Jaz tudi ne.; Jaz sem svoje sreče kovač. -Jaz tudi.
 Samo prepusti se. Ne razmišljaj.; Ne razmišljaj.
 Počakaj, Jack, Jack! Počakaj! Ustavi se, Jack!; Čakaj, Jack! Ustavi se!
 Počakaj! -Hej! Hej!; Hej!
 ...pristojnost Shermanovega zakona, zato se bodo moji odvetniki pritožili.; Moji odvetniki bodo to izpodbijali.
 To je rekel tudi Rockefeller, ampak vrhovno sodišče se ne strinja.; To je rekel tudi Rockefeller, a ga je Vrhovno sodišče zavrnilo.
 Kaj? Misliš, da dekle iz prvega razreda ne zna piti?; Pošten tat. Tega pa ne vidiš vsak dan, kaj?
 Dobro sem.; V redu sem.
 Dvakrat iz treh, dvakrat iz treh.; Dve od treh.
 Mislite, da ste veliki, močni fantje?; Mislite, da ste močni in žilavi?
 Poskusite narediti tole.; Pa naredite tole.
 Tega nisem naredila že leta.; Si v redu? -Tega že več let nisem počela.
 Bi kavo, gospod?; Boste kavo, gospod?
 Utrujena sem bila.; Bila sem utrujena.
 Tvoji napori v podpalubju so bili nedvomno utrudljivi.; Napori pod palubo so te gotovo izčrpali.
 Vidim, da me je tvoj pogrebniški lakaj zasledoval. Kako tipično.; Vidim, da si svojega slugo poslal za mano. Tipično.
 Česa takega ne boš nikoli več storila, Rose. Jasno?; Tako se ne boš nikoli več obnašala, Rose. Jasno?
 Nisem poslovodja v tvoji tovarni, da bi mi lahko ukazoval.; Nisem delovodja v eni izmed tvojih tovarn, ki mu lahko ukazuješ.
 Moja zaročenka? Moja zaročenka!; Moja zaročenka!
 Da, si, in moja žena!; Tako je, pa moja žena tudi!
 Moja žena v praksi, če že ne po zakonu, zato me boš spoštovala.; Moja žena v praksi, če še ne po zakonu. Zato me boš spoštovala.
 Spoštovala me boš tako, kot mora žena spoštovati moža.; Spoštovala me boš, kot bi žena morala svojega moža.
 Ker iz mene se ne boš delala norca, Rose.; Ker se iz mene ne boš norčevala, Rose.
 Je to kakorkoli nejasno?; Je to trenutna cena za rešitev ljubljene ženske?
 Gospodična Rose!; Gospodična Rose.
 Imela sva manjšo... nezgodo. -Je že v redu, gospodična Rose.; Oprosti, Trudy. -Je že v redu.
 Je že v redu. -Žal mi je, Trudy.; Oprosti, Trudy. -Je že v redu.
 Naj ti pomagam. -Je že v redu, gospodična.; Oprosti, Trudy. -Je že v redu.
 V redu je, gospodična.; Držim vas, gospodična.
 Tea, Trudy. -Da, gospa.; Čaj, Trudy. -Ja, gospa.
 Tistega fanta ne smeš več videti, jasno?; Ne smeš se več videvati s tistim fantom. Me razumeš?
 Rose, prepovedujem ti. Oh, nehaj, mati.; Daj, Rose, saj zmoreš.
 Seveda vem, da ga ni več.; Seveda vem, da ga nimava.
 Vsak dan me opominjaš.; Vsak dan me spomniš.
 Tvoj oče nama ni zapustil drugega kot kupa dolgov, skritih za dobrih imenom.; Tvoj oče nama je pustil same dolgove, skrite za dobrim imenom.
 To ime je edina karta, na katero morava igrati.; Čim dlje morava ostati na ladji.
 Ne razumem te. Hockley je dobra partija.; To je Jack Dawson.
 Omogočila nama bo obstanek. -Kako lahko to polagaš na moja ramena?; Tako je. -Kdaj bomo lahko nadaljevali pot, prekleto?
 Zakaj si tako sebična? -Jaz sem sebična?; Zakaj si tako sebična?
 Bi rada, da končam kot šivilja?; Bi rada, da delam kot šivilja?
 Da naše lepe stvari prodajo na dražbi?; Da bi najine stvari prodali na dražbi?
 Naše spomine raztrosijo v vetru?; Ne bi raje spravili žensk in otrok v čolne?
 Tako nepravično je.; Tako krivično je.
 Seveda je nepravično.; To je popolnoma nesprejemljivo.
 Duh, ki oče ga je poslal, da po nebu bi se razširil.; Pridi, Josephine, v moj leteči stroj Dviga se proti nebu Dviga se Takrat je Titanik zadnjič videl dnevno svetlobo.
 Nebeški veter obvaruj tiste, ki si drznejo kot orel poleteti.; Pretvarjaj se, da si lastnik zlatega rudnika, in zlil se boš mednje.
 Ne bi smel biti tukaj.; Gospodična, ne bi smeli biti tu.
 Sinoči sem bil tukaj. Se me ne spomnite?; Sinoči sem bil tu, se me ne spomnite?
 Ne, bojim se, da ne. Zdaj se boste morali obrniti.; Ne bom se pretvarjal, da vem, zakaj.
 On vam bo povedal. Samo... Rad bi...; Nabrati ga moraš, naj bo zajeten. Moraš...
 Gospod Hockley in gospa Dewitt Bukater sta še vedno hvaležna za vašo pomoč.; G. Hockley in gospa Dewitt Bukater sta vam hvaležna za vso pomoč.
 Prosila sta me, da, uh... vam sam tole v zahvalo.; Prosila sta me, naj vam dam tole v zahvalo.
 Nočem vašega denarja. Prosim, jaz... -In da vas obenem spomnim, da imate karto za tretji razred in da tukaj niste več zaželeni.; Obenem vas moram spomniti, da imate vozovnico za tretji razred in da vaša prisotnost tu ni več zaželena.
 Prosim, samo z Rose bi rad govoril...; Prosim, samo za hip bi rad govoril z Rose.
 Gospoda, bi prosim poskrbela, da se gospod Dawson vrne tja, kamor spada in tam tudi ostane.; Gospoda, prosim, pospremita g. Dawsona tja, kamor spada, in poskrbita, da bo tam tudi ostal.
 Usliši nas, ko te prosimo za tiste v nevarnosti na morju.; Lucy, za božjo voljo, bodi za zgled in si nadeni rešilni pas.
 Oprostite, gospod. Še eno opozorilo o ledu. To je z Noordama.; Ne skrbite, gospodična. Gotovo je le varnostni ukrep.
 Oh, brez skrbi. Popolnoma običajno za ta letni čas.; Ne skrbite. Dokaj normalno za ta letni čas.
 Pravkar sem ukazal, naj zakurijo zadnje kotle.; Pravzaprav pospešujemo. Pravkar smo zagnali še zadnje kotle.
 No, sine. Navij čvrsto, kot sem ti pokazal.; Navij, kot sem ti pokazal. Tako, ja.
 Je bilo v redu, kajne? -Krasno.; Neverjetno je, kajne? -Nadvse veličastno.
 Seštevala sem na pamet in število rešilnih čolnov krat kapaciteta, ki ste jo omenili.; G. Andrews, oprostite, računala sem, in če pomnožim število rešilnih čolnov z njihovo kapaciteto...
